movieNm,openDt,audiAcc,link,images
매직빈,2018-05-03,53877,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171401,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171401_P10_105037.jpg
레오나르도 다 빈치,2018-04-26,51218,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173004,https://ssl.pstatic.net/imgmovie/mdi/mit110/1730/173004_P12_113829.jpg
원더스트럭,2018-05-03,13987,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162874,https://ssl.pstatic.net/imgmovie/mdi/mit110/1628/162874_P17_105050.jpg
램페이지,2018-04-12,1372657,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162249,https://ssl.pstatic.net/imgmovie/mdi/mit110/1622/162249_P12_113544.jpg
콰이어트 플레이스,2018-04-12,502875,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189368,https://ssl.pstatic.net/imgmovie/mdi/mit110/1622/162249_P12_113544.jpg
살인소설,2018-04-25,38368,https://movie.naver.com/movie/bi/mi/basic.nhn?code=157974,https://ssl.pstatic.net/imgmovie/mdi/mit110/1579/157974_P09_112107.jpg
바람 바람 바람,2018-04-05,1191776,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189388,https://ssl.pstatic.net/imgmovie/mdi/mit110/1893/189388_P01_170248.jpg
나를 기억해,2018-04-19,138198,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158555,https://ssl.pstatic.net/imgmovie/mdi/mit110/1585/158555_P22_152940.jpg
레디 플레이어 원,2018-03-28,2246322,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136898,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136898_P05_175007.jpg
곤지암,2018-03-28,2662377,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172454,https://ssl.pstatic.net/imgmovie/mdi/mit110/1724/172454_P62_140358.jpg
덕구,2018-04-05,292804,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154667,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154667_P13_152551.jpg
정글번치: 최강 악당의 등장,2018-04-19,31087,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171403,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171403_P14_113644.jpg
